Year,Month,Day,Latitude,Longitude,RCP2.6_Avg,RCP4.5_Avg,RCP6.0_Avg,RCP8.5_Avg
2025,3,1,5.12466,100.3833,24.86333333,25.668,24.99333333,25.276
2025,3,2,5.12466,100.3833,24.00333333,26.024,25.29,25.486
2025,3,3,5.12466,100.3833,24.28666667,25.79,25.54666667,25.75
2025,3,4,5.12466,100.3833,24.89333333,25.706,25.72666667,25.778
2025,3,5,5.12466,100.3833,24.51,25.456,25.88666667,25.536
2025,3,6,5.12466,100.3833,25.03666667,25.858,25.79333333,25.354
2025,3,7,5.12466,100.3833,25.27666667,25.938,25.13,25.44
2025,3,8,5.12466,100.3833,25.14666667,25.552,25.15333333,25.326
2025,3,9,5.12466,100.3833,24.88666667,25.7,25.58333333,25.5
2025,3,10,5.12466,100.3833,25.23,25.836,25.40333333,25.358
2025,3,11,5.12466,100.3833,24.30333333,25.524,25.76666667,25.472
2025,3,12,5.12466,100.3833,24.90666667,25.452,26.28666667,25.278
2025,3,13,5.12466,100.3833,25.29333333,25.71,25.95333333,24.702
2025,3,14,5.12466,100.3833,25.35666667,25.962,25.60333333,25.4
2025,3,15,5.12466,100.3833,25.34666667,25.9,25.58333333,25.39
2025,3,16,5.12466,100.3833,25.42666667,25.942,25.86,24.974
2025,3,17,5.12466,100.3833,25.30666667,25.928,25.74,25.106
2025,3,18,5.12466,100.3833,25.06666667,25.626,25.70333333,25.16
2025,3,19,5.12466,100.3833,25.52333333,25.878,25.63333333,25.716
2025,3,20,5.12466,100.3833,24.62666667,25.794,25.10333333,25.796
2025,3,21,5.12466,100.3833,25.23333333,25.492,25.26333333,25.534
2025,3,22,5.12466,100.3833,25.61666667,25.526,25.78,25.508
2025,3,23,5.12466,100.3833,25.40333333,25.602,26.51666667,25.83
2025,3,24,5.12466,100.3833,26,25.386,26.33,25.644
2025,3,25,5.12466,100.3833,25.77333333,25.576,25.61666667,25.248
2025,3,26,5.12466,100.3833,26.12666667,25.53,25.80333333,24.892
2025,3,27,5.12466,100.3833,26.13333333,25.696,25.63666667,25.172
2025,3,28,5.12466,100.3833,26.00333333,25.53,25.81333333,25.076
2025,3,29,5.12466,100.3833,25.95666667,25.992,25.99333333,25.314
2025,3,30,5.12466,100.3833,25.71666667,25.452,26.25,25.686
2025,3,31,5.12466,100.3833,26.21666667,25.516,25.97,25.194
2025,4,1,5.12466,100.3833,26.48333333,25.964,25.90333333,26.456
2025,4,2,5.12466,100.3833,26.71333333,26.558,26.06,26.846
2025,4,3,5.12466,100.3833,26.84,26.496,25.99333333,27.036
2025,4,4,5.12466,100.3833,26.89333333,26.576,26.45,27.008
2025,4,5,5.12466,100.3833,26.59666667,26.558,26.6,26.55
2025,4,6,5.12466,100.3833,26.43,26.586,26.42,26.514
2025,4,7,5.12466,100.3833,26.17666667,26.698,25.94,26.632
2025,4,8,5.12466,100.3833,26.18333333,26.678,26.14666667,26.746
2025,4,9,5.12466,100.3833,26.36666667,26.66,26.58,26.798
2025,4,10,5.12466,100.3833,26.53,26.348,26.52333333,26.804
2025,4,11,5.12466,100.3833,26.57666667,26.568,26.35333333,26.42
2025,4,12,5.12466,100.3833,26.67666667,26.358,26.13,26.402
2025,4,13,5.12466,100.3833,26.55,26.324,26.19,26.858
2025,4,14,5.12466,100.3833,26.51,26.604,26.49,26.626
2025,4,15,5.12466,100.3833,26.61333333,26.456,26.28,26.446
2025,4,16,5.12466,100.3833,26.65,26.388,26.31666667,26.832
2025,4,17,5.12466,100.3833,26.49333333,26.672,26.05666667,26.98
2025,4,18,5.12466,100.3833,26.49666667,26.664,25.96666667,26.814
2025,4,19,5.12466,100.3833,26.61,26.668,26.06,26.962
2025,4,20,5.12466,100.3833,26.28,26.702,26.13666667,26.624
2025,4,21,5.12466,100.3833,26.37333333,26.698,26.16333333,26.246
2025,4,22,5.12466,100.3833,26.54666667,26.698,26.14666667,26.386
2025,4,23,5.12466,100.3833,26.66,26.536,26.32333333,26.646
2025,4,24,5.12466,100.3833,26.87,26.586,25.94333333,26.608
2025,4,25,5.12466,100.3833,27.02666667,26.654,26.25,26.698
2025,4,26,5.12466,100.3833,27.38,26.904,26.25333333,26.904
2025,4,27,5.12466,100.3833,27.01666667,26.83,26.35,26.796
2025,4,28,5.12466,100.3833,26.89666667,26.878,26.54333333,26.722
2025,4,29,5.12466,100.3833,26.62333333,26.676,26.71,26.302
2025,4,30,5.12466,100.3833,26.69,26.514,26.71,25.81
2026,3,1,5.12466,100.3833,25.10666667,26.124,25.58666667,25.542
2026,3,2,5.12466,100.3833,25.66,26.356,25.51666667,25.606
2026,3,3,5.12466,100.3833,24.64333333,26.526,25.62666667,26.042
2026,3,4,5.12466,100.3833,25.32666667,26.406,25.53,26.174
2026,3,5,5.12466,100.3833,25.32333333,26.51,25.46666667,25.598
2026,3,6,5.12466,100.3833,25.59333333,26.136,25.85333333,25.742
2026,3,7,5.12466,100.3833,25.82333333,26.068,25.93666667,25.722
2026,3,8,5.12466,100.3833,25.86333333,25.814,25.70666667,25.046
